subject,order,response,item,uttrID,stimulus,context,error,error_uPOS,error_class,repair,repair_uPOS,repair_class,subs_position,target,group,condition,confidence,RT,correction_category,corrected_target,target_correction_category,target_correction,only_substitution
56e3125b533388365b5249d4ee3308a1,50,B: Oh I just we-,448,46675,B: Oh I just we-,B: Down near the Highway Twelve area is Gershwin's <br> A: I've been there ,I,PRON,CLOSED,we,PRON,CLOSED,2,B: Oh we just we-,1,error,99,197,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,76,A: My daughter who's seventeen now I worked even when she was a baby,769,10012,A: My daughter that's seventeen now I worked even when she was a baby,A: I'm an old experienced hand <br> I started back when it wasn't stylish to do that at all,,,,,,,,A: My daughter that's seventeen now I worked even when she was a baby,1,fluent,99,148,corrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,33,B: But to go out and drive uh never has really been appealing to me in that regard,233,55649,B: But to go out and drive uh never has really been any appeal to me in that regard,B: It was always someone else's <br> And that sort of thing I enjoy,been,VERB,OPEN,had,VERB,OPEN,11,B: But to go out and drive uh never has really had any appeal to me in that regard,1,error,99,403,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,29,B: well he drove a red Miata,184,66824,B: well he did a red Miata,A: they're cute cars <br> B: Yeah ,did,VERB,OPEN,had,VERB,OPEN,3,B: well he had a red Miata,1,error,38,293,corrected,TRUE,corrected2alt,drove,TRUE
56e3125b533388365b5249d4ee3308a1,72,A: Just let him enjoy himself,721,26823,A: Just let him enjoy himself,A: And I turned out okay <br> so don't worry about it,,,,,,,,A: Just let him enjoy himself,1,fluent,99,236,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,28,A: And I push in my number,172,19140,A: And I push in my number,B: I guess so <br> A: I've been called several times ,push,VERB,OPEN,pushed,VERB,OPEN,3,A: And I pushed in my number,1,error,57,597,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,78,A: I need to get things done,793,54778,A: I need to get things done,A: I need to do all kinds of different things like that <br> and even though it's friends calling sometimes you just feel like this is my quiet time,,,,,,,,A: I need to get things done,1,fluent,99,507,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,92,B: Actually I plan them a month in advance,961,6603,B: Actually I plan them a month in advance,B: I've never thought about um <br> I do plan my clothes a week in advance,,,,,,,,B: Actually I plan them a month in advance,1,fluent,99,367,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,93,A: I'm probably going to hear about it for the rest of my life,973,88608,A: I'm probably going to hear about it the rest of my life,A: And I tell you <br> really I could just kick myself for even starting it because I have a feeling I'm never going to get it done,,,,,,,,A: I'm probably going to hear about it the rest of my life,1,fluent,99,480,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,48,B: Kind of scattering the vacation out this year,425,16714,B: Kind of scattering the vacation out the year,B: I see <br> A: So uh ,out,ADP,CLOSED,throughout,ADP,CLOSED,6,B: Kind of scattering the vacation throughout the year,1,error,73,594,corrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,52,A: The only thing I didn't like was in some of the more touristy areas uh um the would just be approached by people wanting to be your guide,472,34885,A: The only thing I didn't like was in some of the more touristy areas uh um the would just be besieged by people wanting to be your guide,A: Yeah <br> It was a very interesting vacation,the,DET,CLOSED,it,PRON,CLOSED,17,A: The only thing I didn't like was in some of the more touristy areas uh um it would just be besieged by people wanting to be your guide,1,error,62,1698,corrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,73,A: And so there I was in old bankruptcy court,733,67594,A: And so there I was in old bankruptcy court,A: Oh it'll get better next week you know <br> Things will pick up,,,,,,,,A: And so there I was in old bankruptcy court,1,fluent,32,353,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,20,A: What kind of things are you like in classical,75,18484,A: What kind of things are you like in classical,A: Yeah <br> I can believe that,are,VERB,OPEN,do,VERB,OPEN,5,A: What kind of things do you like in classical,1,error,31,240,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,69,A: But we do have like retirement,685,50424,A: But we do have like retirement,A: And uh we do have health insurance <br> We don't have fourO plan stuff like that,,,,,,,,A: But we do have like retirement,1,fluent,57,560,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,12,B: About the only bloom that grows well in my area is the uh daffodil and some of the narcissus bulb,1,10977,B: About the only bloom that repeats well in my area is the uh daffodil and some of the narcissus bulb,B: Yep <br> A: Huh ,bloom,NOUN,OPEN,bulb,NOUN,OPEN,4,B: About the only bulb that repeats well in my area is the uh daffodil and some of the narcissus bulb,1,error,65,92,corrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,37,A: people still use it enough in in towns like Clarendon and other areas where they irrigate,281,64195,A: people still use it enough in in towns like Clarendon and other areas where they irrigate,B: Uh-huh <br> A: But um the water usage you know they try to limit even though there's three or four streams that flow into it ,in,ADP,CLOSED,like,OTHER,OTHER,6,A: people still use it enough like in towns like Clarendon and other areas where they irrigate,1,error,30,241,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,90,B: I used to use it quite a bit,937,20245,B: I used to use it quite a bit,B: It's an AT compatible <br> I don't use it very much any more,,,,,,,,B: I used to use it quite a bit,1,fluent,69,599,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,55,B: We have random drug testing at my job,518,8975,B: We have random drug testing at my business,A: I've never had random drug testing <br> B: Yeah ,at,ADP,CLOSED,in,ADP,CLOSED,6,B: We have random drug testing in my business,1,error,69,505,corrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,53,A: And we lived in uh SouthBend for eighty years and uh then moved to uh Tennessee actually,484,11389,A: And we lived in uh SouthBend for eighty years and uh then moved to uh Tennessee actually,B: Oh okay <br> A: I was born in New Mexico ,eighty,CD,CLOSED,eight,CD,CLOSED,8,A: And we lived in uh SouthBend for eight years and uh then moved to uh Tennessee actually,1,error,61,816,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,43,A: I mean they can love them all you want,364,68745,A: I mean they can love them all you want,A: And they're friends you know <br> B: That's right ,they,PRON,CLOSED,you,PRON,CLOSED,3,A: I mean you can love them all you want,1,error,55,438,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,91,A: And the trial won't take place until June,949,87800,A: And the trial won't take place until June,A: We stayed till about one thirty <br> and they're going to call the ones that they're interested in from the questionnaire two to three at a time,,,,,,,,A: And the trial won't take place until June,1,fluent,99,1093,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,26,B: Some of the other people organized it,148,67080,B: Some of the other people organized it,B: This is really neat thing to do too that they did <br> I didn't do it,other,ADJ,OPEN,older,ADJ,OPEN,4,B: Some of the older people organized it,1,error,99,269,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,45,B: When the days start getting a little longer you know you can start doing it in the evening after work,388,83832,B: When the days start getting a little longer you know you can start doing it in the evening after work,B: Right <br> A: I can do it on most any day of the week ,you,PRON,CLOSED,I,PRON,CLOSED,11,B: When the days start getting a little longer you know I can start doing it in the evening after work,1,error,27,368,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,82,B: So it seems wetter or something like that,841,17673,B: So it seems wetter or something like that,B: And uh the snow is like really cold <br> I mean it's like really humid,,,,,,,,B: So it seems wetter or something like that,1,fluent,25,733,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,24,A: Uh you simply have to take your sick leave. And take your sick leave,124,22665,A: Uh you simply have to take your sick leave. And take your sick leave,B: Uh-huh <br> A: Uh in fact I know the school districts down here they don't have maternity leave ,take,VERB,OPEN,accumulate,VERB,OPEN,6,A: Uh you simply have to accumulate your sick leave. And take your sick leave,1,error,27,748,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,98,A: Do you have any that you like well enough that you tape them when you're not going to be there,1033,107627,A: Do you have any that you like well enough that you tape them when you're not going to be there,B: And then sometimes OPRAH and sometimes DONAHUE <br> but now it's mainly evenings,,,,,,,,A: Do you have any that you like well enough that you tape them when you're not going to be there,1,fluent,72,999,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,42,A: well you went out from Texas up in that area,341,49814,A: well you went out from Texas up in that area,B: It was great <br> A: What ,in,ADP,CLOSED,into,ADP,CLOSED,8,A: well you went out from Texas up into that area,1,error,71,1105,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,67,B: And they're willing to try anything to get out from under it even if that means switching to communism,661,15510,B: And they're willing to try anything to get out from under it even if that means going to communism,B: And generally the people are getting screwed <br> and they're tired of it,,,,,,,,B: And they're willing to try anything to get out from under it even if that means going to communism,1,fluent,78,81,corrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,57,A: I went skiing in the Carolina Mountains which aren't anything,541,80395,A: I went skiing in the Carolina Mountains which aren't anything,B: Right <br> A: And so like my roommate went home ,in,ADP,CLOSED,over,ADP,CLOSED,4,A: I went skiing over the Carolina Mountains which aren't anything,1,error,33,440,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,89,B: But I just said Howard,925,98030,B: But I just said Howard,B: And I was real upset <br> and I probably got more nasty than I should have,,,,,,,,B: But I just said Howard,1,fluent,89,834,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,64,B: I'm glad to hear that,625,11582,B: I'm glad to hear that,B: Oh Oh well that's real nice because I can remember two years ago that in about February the hundred degree weather started in San Antonio and just continued <br> At least y'all are getting some rain up in Dallas,,,,,,,,B: I'm glad to hear that,1,fluent,99,232,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,51,A: Like uh National Public Radio or any of these public uh stations you know I,460,44918,A: Like uh National Public Radio or any of these public uh stations you know I,A: It kind of makes you feel (mumblex) from doing it again <br> B: Uh-huh ,these,DET,CLOSED,the,DET,CLOSED,9,A: Like uh National Public Radio or any of the public uh stations you know I,1,error,62,447,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,14,A: All the rest of my yard is uh you know pool and decking,14,83678,A: All the rest of my yard is uh you know pool and decking,A: You do a lot more area than I do <br> I've,yard,NOUN,OPEN,backyard,NOUN,OPEN,6,A: All the rest of my backyard is uh you know pool and decking,1,error,58,416,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,36,B: and we knew time wise or money wise too,269,73023,B: and we knew time wise or money wise too,B: I agree with you very much so <br> Now we waited several years before we started having children because we was still in college,or,CC,CLOSED,and,CC,CLOSED,6,B: and we knew time wise and money wise too,1,error,48,84,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,59,B: Don't walk down an alley,565,67931,B: Don't walk down a alley,B: Sure <br> Right,a,DET,CLOSED,an,DET,CLOSED,4,B: Don't walk down an alley,1,error,99,255,corrected,TRUE,corrected2target,an,TRUE
56e3125b533388365b5249d4ee3308a1,38,A: The only thing really that can be changed is for us to say we've had enough of you,293,10299,A: The only thing really that can be changed is for us to say we've had enough of you,A: Uh the only way it can change is um if everybody bands together <br> It's just like we need to get rid of these clowns that's serving in the office,us,PRON,CLOSED,everybody,NOUN,OPEN,11,A: The only thing really that can be changed is for everybody to say we've had enough of you,1,error,63,858,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,23,A: He's got a full bred Golden Retriever,112,44345,A: He's got a full bred Golden Retriever,A: Well it's the same guy that was watching uh my German Shepherd when he got hit <br> but uh went fishing with him on Friday and took,full,ADJ,OPEN,pure,ADJ,OPEN,4,A: He's got a pure bred Golden Retriever,1,error,29,183,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,44,B: you know diesel fuel is burned in a diesel engine,376,101753,B: you know diesel fuel is burned in a diesel engine,A: Uh-huh <br> B: because when diesel is burned it's it ,a,DET,CLOSED,the,DET,CLOSED,8,B: you know diesel fuel is burned in the diesel engine,1,error,60,1437,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,19,A: And then we make a point of watching,63,86063,A: And then we make a point of watching,B: Uh-huh <br> A: And I guess we just kept sitting there ,then,ADV,OPEN,now,ADV,OPEN,2,A: And now we make a point of watching,1,error,75,2005,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,22,A: So I used to ride about ten to twenty miles a day,100,54948,A: So I used to ride about ten to twenty miles a day,B: I love to ride a bicycle <br> A: I live right near White Rock Lake ,used,VERB,OPEN,try,VERB,OPEN,3,A: So I try to ride about ten to twenty miles a day,1,error,70,1209,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,88,A: But they were free rental videos that had something to do with the war,913,90477,A: But they were free rental videos that had something to do with the war,A: But they have videos that uh <br> I don't know if they still have them,,,,,,,,A: But they were free rental videos that had something to do with the war,1,fluent,58,1659,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,39,B: It's nothing but woods up here,305,20217,B: It's nothing but woods up here,A: When I drive through that area that's all I see is pressure treated lumber yards <br> B: Yeah ,up,ADP,CLOSED,down,ADP,CLOSED,5,B: It's nothing but woods down here,1,error,75,495,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,60,B: Or a nine fifteen class or a ten thirty class in the mornings,577,24801,B: Or a nine fifteen class or a ten thirty class in the mornings,B: And then you just go in whenever you can <br> So like I usually choose to go at nine thirty in the morning,,,,,,,,B: Or a nine fifteen class or a ten thirty class in the mornings,1,fluent,61,79,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,66,A: He says well I think this is what it is,649,22564,A: He says well I think this is what it is,A: I mean if anyone does this guy knows it <br> Well she goes in,,,,,,,,A: He says well I think this is what it is,1,fluent,70,180,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,86,B: When I came back here I brought the car back here,889,23004,B: When I came back here I brought the car back here,B: After about a hundred thousand miles the injector pump went out on it <br> And uh I bought it when we were living in Lubbock,,,,,,,,B: When I came back here I brought the car back here,1,fluent,75,741,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,13,A: There was a article in the paper just this week where I think it's uh one of the gun companies I can't remember which was developing a ten millimeter automatic pistol for the which would give them additional firepower,7,30816,A: There was a article in the paper just this week where I think it's uh one of the gun companies I can't remember which was developing a ten millimeter automatic pistol for the which would give them additional firepower,B: Yeah <br> So,a,DET,CLOSED,an,DET,CLOSED,3,A: There was an article in the paper just this week where I think it's uh one of the gun companies I can't remember which was developing a ten millimeter automatic pistol for the which would give them additional firepower,1,error,29,1230,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,81,B: I don't care what else you call them you know,829,106093,B: I don't care what else you call them you know,B: But these were shorts <br> That's all they were,,,,,,,,B: I don't care what else you call them you know,1,fluent,70,804,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,41,A: Um you know uh maybe three hundred feet elevation uh type variations from the valleys up to the hills,329,97237,A: Um you know uh maybe three hundred feet elevation uh type variations from the valleys up to the hills,A: Uh well from my neck of the woods it's hilly <br> B: Uh-huh ,three,CD,CLOSED,four,CD,CLOSED,6,A: Um you know uh maybe four hundred feet elevation uh type variations from the valleys up to the hills,1,error,61,140,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,17,B: We should eventually send someone to Mars but not just because it's glitzy to do so,39,70173,B: We should eventually send someone to Mars but not just because it's glitzy to do so,B: But the same money could probably be far better spent on uh uh lunar bases and solar power satellite research and you know so forth <br> It it would de- it would be being done for the uh glitz and show factor to get politician votes instead of for you know,someone,NOUN,OPEN,people,NOUN,OPEN,5,B: We should eventually send people to Mars but not just because it's glitzy to do so,1,error,26,995,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,63,A: And on my Chevy van that's a couple of years old,613,74712,A: And on my Chevy van that's a couple of years old,A: And uh it was a total mess <br> B: Oh that would be a mess,,,,,,,,A: And on my Chevy van that's a couple of years old,1,fluent,78,205,uncorrected,FALSE,n/a,n/a,TRUE
